sku,nombre,marca,variante,capacidad,envase,presentacion,unidadOPack,gtin,disponible,imageUrlActual,tipoActual,imageUrlPreparada,tipoPreparado,fuente,sourceType
gancia-lima-limon-lata-473ml,Gancia Lima Limón,Gancia,Lima limón,473 ml,lata,Unidad,UNIDAD,,false,,FALLBACK,assets/products/gancia-lima-limon-lata-473ml-5cfdab179b9102a3-3b02e792389c7544.webp,REAL,https://jumboargentina.vteximg.com.br/arquivos/ids/788231/Gancia-Lima-Lim-n-3-5-473ml-1-882803.jpg?v=638249457828330000,proveedor_aprobado
gatorade-cool-blue-500ml,Gatorade Cool Blue,Gatorade,Cool Blue,500 ml,botella-pet,Unidad,UNIDAD,,true,assets/products/gatorade-cool-blue-500ml-e3fcbd3e1e29bb61-f138bb4b00238c71.webp,REAL,assets/products/gatorade-cool-blue-500ml-e3fcbd3e1e29bb61-f138bb4b00238c71.webp,REAL,https://boulevard-sa.com.ar/Site/img/products/gatorade/Gatorade-cool-blue-500-L.jpg,distribuidor_oficial
gatorade-manzana-1250ml,Gatorade Manzana,Gatorade,Manzana,1250 ml,botella-pet,Unidad,UNIDAD,,true,assets/products/gatorade-manzana-1250ml-64efd055975ef241-67bbe43a8a884939.webp,REAL,assets/products/gatorade-manzana-1250ml-64efd055975ef241-67bbe43a8a884939.webp,REAL,https://boulevard-sa.com.ar/Site/img/products/gatorade/Gatorade-manzana-1250-L.jpg,distribuidor_oficial
gin-gordons-700ml,Gordon's London Dry,Gordon's,London Dry,700 ml,botella,Unidad,UNIDAD,,false,,FALLBACK,,FALLBACK,,
monster-green-zero-473ml,Monster Green Zero,Monster,Sin azúcar,473 ml,lata,Unidad,UNIDAD,,true,assets/products/monster-green-zero-473ml-c238e9bf28582e15-36ea5aaa51d7906e.webp,REAL,assets/products/monster-green-zero-473ml-c238e9bf28582e15-36ea5aaa51d7906e.webp,REAL,https://web-assests.monsterenergy.com/mnst/9c1506b2-791c-4f0a-9ed9-25cf66549334.png,fabricante
paso-de-los-toros-pomelo-1500ml,Paso de los Toros Pomelo,Paso de los Toros,Pomelo,1500 ml,botella-pet,Unidad,UNIDAD,,true,assets/products/paso-de-los-toros-pomelo-1500ml-07e30d4119649232-5ee73401ead32b21.webp,REAL,assets/products/paso-de-los-toros-pomelo-1500ml-07e30d4119649232-5ee73401ead32b21.webp,REAL,https://boulevard-sa.com.ar/Site/img/products/paso-de-los-toros/Paso-de-los-Toros-pomelo-1500-L.jpg,distribuidor_oficial
paso-de-los-toros-tonica-1500ml,Paso de los Toros Tónica,Paso de los Toros,Tónica,1500 ml,botella-pet,Unidad,UNIDAD,,true,assets/products/paso-de-los-toros-tonica-1500ml-3a05ed21abc4e380-f551a02eb264272c.webp,REAL,assets/products/paso-de-los-toros-tonica-1500ml-3a05ed21abc4e380-f551a02eb264272c.webp,REAL,https://boulevard-sa.com.ar/Site/img/products/paso-de-los-toros/Paso-de-los-Toros-1500-L.jpg,distribuidor_oficial
patagonia-amber-lager-botella-730ml,Patagonia Amber Lager,Patagonia,Amber Lager,730 ml,botella,Unidad,UNIDAD,,false,,FALLBACK,assets/products/patagonia-amber-lager-botella-730ml-a5c26f21d7f42cfe-94d698343b3e7cc7.webp,REAL,https://jumboargentina.vteximg.com.br/arquivos/ids/890494/Cerveza-Patagonia-Amber-Lager-730cc-1-11622.jpg?v=639140687017870000,proveedor_aprobado
pepsi-black-1500ml,Pepsi Black,Pepsi,Sin azúcar,1500 ml,botella-pet,Unidad,UNIDAD,,true,assets/products/pepsi-black-1500ml-52009e2651c40a42-b09188d077fa3a4f.webp,REAL,assets/products/pepsi-black-1500ml-52009e2651c40a42-b09188d077fa3a4f.webp,REAL,https://jumboargentina.vtexassets.com/arquivos/ids/907119-1000-auto?aspect=true&height=auto&v=639124043883700000&width=1000,proveedor_aprobado
pepsi-original-2000ml,Pepsi,Pepsi,Original,2000 ml,botella-pet,Unidad,UNIDAD,,true,assets/products/pepsi-original-2000ml-b4298e4382912cf4-86e8267fb10c961a.webp,REAL,assets/products/pepsi-original-2000ml-b4298e4382912cf4-86e8267fb10c961a.webp,REAL,https://jumboargentina.vtexassets.com/arquivos/ids/907125-1000-auto?aspect=true&height=auto&v=639124043908630000&width=1000,proveedor_aprobado
