sku,marca,nombre,presentacion,categoria,alcohol,precio,stock,foto,derechos_foto,combos,falta,estado
manaos-naranja-2250ml-local,Manaos,Manaos,"Botella PET · 2,25 L · Unidad",gaseosas,no,,,si,pending_review,,precio stock,falta_precio
martini-bianco-1000ml,Martini,Martini Bianco,Botella · 1 L · Unidad,aperitivos,si,,,no,pending_review,,precio foto stock,falta_precio
martini-bianco-1000ml-local,Martini,Martini Bianco,Botella · 1 L · Unidad,aperitivos,si,,,si,pending_review,,precio stock,falta_precio
monster-mango-loco-473ml,Monster,Monster Mango Loco,Lata · 473 ml · Unidad,energizantes,no,,,si,pending_review,,precio stock,falta_precio
monster-mango-loco-lata-473ml,Monster,Monster Mango Loco,Lata · 473 ml · Unidad,energizantes,no,3390,,si,pending_review,,stock,falta_stock
monster-ultra-473ml,Monster,Monster Ultra,Lata · 473 ml · Unidad,energizantes,no,,,no,pending_review,,precio foto stock,falta_precio
monster-ultra-473ml-local,Monster,Monster Ultra,Lata · 473 ml · Unidad,energizantes,no,,,si,pending_review,,precio stock,falta_precio
norton-malbec-750ml-local,Norton,Norton Malbec,Botella · 750 ml · Unidad,vinos,si,,,si,pending_review,,precio stock,falta_precio
paso-de-los-toros-pomelo-1500ml,Paso de los Toros,Paso de los Toros Pomelo,"Botella PET · 1,5 L · Unidad",mixers,no,,,si,pending_review,,precio stock,falta_precio
paso-de-los-toros-tonica-1500ml,Paso de los Toros,Paso de los Toros Tónica,"Botella PET · 1,5 L · Unidad",mixers,no,,,si,pending_review,,precio stock,falta_precio
patagonia-lager-del-sur-730ml,Patagonia,Patagonia Lager del Sur,Botella · 730 ml · Unidad,cervezas,si,,,si,pending_review,,precio stock,falta_precio
pepsi-black-1500ml,Pepsi,Pepsi Black,"Botella PET · 1,5 L · Unidad",gaseosas,no,,,si,pending_review,,precio stock,falta_precio
pepsi-black-2250ml-local,Pepsi,Pepsi Black,"Botella PET · 2,25 L · Unidad",gaseosas,no,,,si,pending_review,,precio stock,falta_precio
powerade-mountain-blast-995ml,Powerade,Powerade,Botella PET · 995 ml · Unidad,isotonicas,no,,,si,pending_review,,precio stock,falta_precio
quilmes-clasica-710ml,Quilmes,Quilmes Clásica,Lata · 710 ml · Unidad,cervezas,si,,,si,pending_review,,precio stock,falta_precio
red-bull-energy-drink-355ml,Red Bull,Red Bull Energy Drink,Lata · 355 ml · Unidad,energizantes,no,,,si,pending_review,,precio stock,falta_precio
red-bull-original-lata-250ml,Red Bull,Red Bull Energy Drink,Lata · 250 ml · Unidad,energizantes,no,3576,,si,pending_review,,stock,falta_stock
red-bull-original-lata-250ml-pack-4,Red Bull,Red Bull Energy Drink,Lata · 250 ml · Pack x4,energizantes,no,,,si,pending_review,,precio stock,no_vendible
rutini-cabernet-malbec-750ml-local,Rutini,Rutini,Botella · 750 ml · Unidad,vinos,si,,,si,pending_review,,precio stock,falta_precio
rutini-malbec-750ml,Rutini,Rutini Malbec,Botella · 750 ml · Unidad,vinos,si,,,si,pending_review,,precio stock,falta_precio
schneider-rubia-lata-710ml,Schneider,Schneider Rubia,Lata · 710 ml · Unidad,cervezas,si,3500,,si,pending_review,,stock,falta_stock
schweppes-citrus-pet-1500ml-pack-6,Schweppes,Schweppes Citrus,Botella PET · 1500 ml · Pack x6,mixers,no,19999,,si,pending_review,,stock,no_vendible
schweppes-ginger-ale-310ml,Schweppes,Schweppes Ginger Ale,Lata · 310 ml · Unidad,mixers,no,,,si,pending_review,,precio stock,falta_precio
schweppes-pomelo-sin-azucar-2250ml,Schweppes,Schweppes Pomelo,"Botella PET · 2,25 L · Unidad",mixers,no,,,si,pending_review,,precio stock,falta_precio
schweppes-tonica-354ml,Schweppes,Schweppes Tónica,Lata · 354 ml · Unidad,mixers,no,,,no,pending_review,,precio foto stock,falta_precio
schweppes-tonica-354ml-local,Schweppes,Schweppes Tónica,Lata · 354 ml · Unidad,mixers,no,,,si,pending_review,,precio stock,falta_precio
schweppes-tonica-pet-1500ml-pack-6,Schweppes,Schweppes Tónica,Botella PET · 1500 ml · Pack x6,mixers,no,19999,,si,pending_review,,stock,no_vendible
smirnoff-700ml,Smirnoff,Smirnoff,Botella · 700 ml · Unidad,destilados,si,,,no,pending_review,,precio foto stock,falta_precio
soda-ivess-1500ml,Ivess,Soda Ivess,"Sifón · 1,5 L · Unidad",mixers,no,,,si,pending_review,,precio stock,falta_precio
speed-original-lata-473ml,Speed,Speed Unlimited,Lata · 473 ml · Unidad,energizantes,no,2925,,si,pending_review,combo-cuatro-para-arrancar,stock,falta_stock
speed-zero-473ml,Speed,Speed Zero,Lata · 473 ml · Unidad,energizantes,no,,,si,pending_review,,precio stock,falta_precio
speed-zero-lata-473ml,Speed,Speed Unlimited,Lata · 473 ml · Unidad,energizantes,no,2925,,si,pending_review,combo-birra-y-energia combo-cuatro-para-arrancar,stock,falta_stock
sprite-original-pet-1500ml-pack-6,Sprite,Sprite,Botella PET · 1500 ml · Pack x6,gaseosas,no,19999,,si,pending_review,,stock,no_vendible
sprite-original-pet-500ml-pack-12,Sprite,Sprite,Botella PET · 500 ml · Pack x12,gaseosas,no,17100,,si,pending_review,,stock,no_vendible
sprite-sin-azucar-2250ml-local,Sprite,Sprite,"Botella PET · 2,25 L · Unidad",gaseosas,no,,,si,pending_review,,precio stock,falta_precio
sprite-sin-azucar-600ml,Sprite,Sprite,Botella PET · 600 ml · Unidad,gaseosas,no,,,si,pending_review,,precio stock,falta_precio
stella-artois-sin-alcohol-330ml,Stella Artois,Stella Artois,Botella · 330 ml · Unidad,cervezas,no,,,si,pending_review,,precio stock,falta_precio
tanqueray-dry-700ml,Tanqueray,Tanqueray Dry,Botella · 700 ml · Unidad,destilados,si,,,si,pending_review,,precio stock,falta_precio
trapiche-reserva-malbec-750ml,Trapiche,Trapiche Reserva Malbec,Botella · 750 ml · Unidad,vinos,si,,,si,pending_review,,precio stock,falta_precio
trumpeter-malbec-750ml-local,Trumpeter,Trumpeter Malbec,Botella · 750 ml · Unidad,vinos,si,,,si,pending_review,,precio stock,falta_precio
villavicencio-sin-gas-500ml,Villavicencio,Villavicencio,Botella PET · 500 ml · Unidad,aguas,no,,,si,pending_review,,precio stock,falta_precio
